epoch,loss,lr,val_loss
0,16813752.741962153,1e-04,13012333.494214876
1,12911118.620315084,1e-04,11944938.061157025
2,11510606.897861933,1e-04,10415080.628099173
3,10632649.346856054,1e-04,9803242.52231405
4,10024838.697627688,1e-04,9684039.614876034
5,9530008.499276593,1e-04,8866808.64876033
6,9076159.974359268,1e-04,8430271.840495868
7,8683527.743064487,1e-04,8488441.590909092
8,8301772.332571652,1e-04,7983537.8256198345
9,7976833.8874586625,1e-04,7824999.208264463
10,7650743.609486956,1e-04,7311124.9553719
11,7350749.075176832,1e-04,6937671.54876033
12,7092045.887309388,1e-04,6773393.298347107
13,6846409.394899412,1e-04,6673941.691735537
14,6622800.059732684,1e-04,6277657.712396694
15,6413079.7330286605,1e-04,6074400.565289256
16,6216535.350587911,1e-04,5958650.736363636
17,6032057.592205585,1e-04,5715497.990082645
18,5835630.280383061,1e-04,5626887.501652893
19,5685255.7684698235,1e-04,5567486.818181818
20,5532008.817615516,1e-04,5236300.341322314
21,5381480.203036009,1e-04,5365396.209917355
22,5287665.172015662,1e-04,5133378.35785124
23,5157806.242829093,1e-04,4900440.752892562
24,5017047.351185008,1e-04,4805831.791735537
25,4906225.717389307,1e-04,4738063.714049587
26,4825795.876033437,1e-04,4651078.477685951
27,4741867.939331481,1e-04,4569867.402066115
28,4623371.8852252895,1e-04,4399488.444214876
29,4572240.961246096,1e-04,4404916.018181819
30,4469740.9500045935,1e-04,4197404.82768595
31,4364226.288306082,1e-04,4087658.6876033056
32,4263412.103613586,1e-04,4055286.8727272726
33,4185815.515128376,1e-04,4012319.552479339
34,4080441.9396300293,1e-04,3756108.5128099173
35,3992585.009536331,1e-04,3683763.6801652894
36,3907028.501469778,1e-04,3613284.811570248
37,3850190.1315451036,1e-04,3587893.2859504134
38,3800688.8254064852,1e-04,3512500.93553719
39,3765607.5925615467,1e-04,3634018.9214876033
40,3716708.344984384,1e-04,3434305.7454545456
41,3657012.9056643853,1e-04,3293232.855371901
42,3615248.0206917142,1e-04,3262608.1099173552
43,3553525.922474968,1e-04,3237262.1132231406
44,3530122.9446077533,1e-04,3165097.826446281
45,3500219.109619006,1e-04,3141551.876446281
46,3456553.7178916726,1e-04,3099663.4016528926
47,3432306.9500160757,1e-04,3090281.6024793386
48,3376226.378117536,1e-04,3047597.241322314
49,3378147.3987575783,1e-04,3059644.008264463
50,3309436.0097372774,1e-04,2989431.5512396693
51,3310741.8045597556,1e-04,2991640.09338843
52,3290079.9744626125,1e-04,2941443.2842975208
53,3276831.6248019245,1e-04,2949629.7363636363
54,3257301.413145324,1e-04,2876277.5256198347
55,3236714.5600599395,1e-04,2918997.2780991737
56,3200198.2946444973,1e-04,2853183.3830578513
57,3215861.4123243154,1e-04,2984466.9582644626
58,3199862.8622313063,1e-04,2866368.023966942
59,3176997.7051258497,1e-04,2808114.561157025
60,3200099.3838387607,1e-04,2824364.9570247936
61,3138900.783552269,1e-04,2835811.583057851
62,3145508.7856535916,1e-04,2794435.412396694
63,3131550.2082893164,1e-04,2790287.0438016527
64,3104150.6486427523,1e-04,2768608.5545454547
65,3084679.4447742514,1e-04,2757194.975619835
66,3095110.902354515,1e-04,2740844.5074380166
67,3080032.212348429,1e-04,2776095.602892562
68,3075828.7251171228,1e-04,2730937.7950413222
69,3088986.3501975015,1e-04,2741484.231818182
70,3063152.919833961,1e-04,2745817.252892562
71,3042558.423858626,1e-04,2736283.0280991737
72,3006275.10506614,1e-04,2737793.8731404957
73,3010098.2571393303,1e-04,2726104.726446281
74,3049069.3525055116,1e-04,2705904.286363636
75,3021404.266256545,1e-04,2780088.2392561985
76,3014585.208691209,1e-04,2699805.182644628
77,3009924.414419897,1e-04,2706262.8607438016
78,3018102.393340644,1e-04,2701349.3723140494
79,3010538.6848905706,1e-04,2711578.997933884
80,3012569.9928118684,1e-04,2755038.0247933883
81,3004250.287961602,1e-04,2670367.646280992
82,2982967.4510983145,1e-04,2694977.1194214877
83,2984984.0331819537,1e-04,2684198.5355371903
84,2966321.7128536655,1e-04,2653041.7004132234
85,2974247.195067059,1e-04,2666821.6214876035
86,2962767.4283225015,1e-04,2694409.9301652894
87,2953965.2625275585,1e-04,2661568.994214876
88,2949353.3707342,1e-04,2637675.0462809918
89,2946820.2481225887,1e-04,2662402.976446281
90,2941089.1320474693,1e-04,2628578.741322314
91,2961175.704758405,1e-04,2674813.561157025
92,2938008.7946789456,1e-04,2643502.752066116
93,2945251.4099244443,1e-04,2625032.404545455
94,2927127.7452978594,1e-04,2676232.221487603
95,2924411.7895347234,1e-04,2633473.3925619833
96,2913597.4740406256,1e-04,2631995.9305785126
97,2921770.246130351,1e-04,2618136.4132231404
98,2907038.668507716,1e-04,2612584.88553719
99,2904819.165467688,1e-04,2626498.9239669424
100,2915364.7009605225,1e-04,2610727.5900826445
101,2915864.476305576,1e-04,2608017.4925619834
102,2884191.99851874,1e-04,2611962.134710744
103,2887127.4910693783,1e-04,2591892.0599173554
104,2904768.0742668337,1e-04,2594475.897107438
105,2877128.9323012354,1e-04,2599499.619834711
106,2907817.3781663375,1e-04,2594655.3202479337
107,2891767.9399056127,1e-04,2589865.779338843
108,2880029.3590735807,1e-04,2603551.3863636362
109,2886348.0189520945,1e-04,2589588.497107438
110,2887311.0536440155,1e-04,2582113.1876033056
111,2876049.4612346133,1e-04,2594936.0342975208
112,2876663.7465293724,1e-04,2593922.575619835
113,2879493.193000184,1e-04,2585425.5867768596
114,2862728.369959122,1e-04,2606020.896694215
115,2846674.092156784,1e-04,2565715.832231405
116,2843985.9405888296,1e-04,2619239.2867768593
117,2876342.9827272412,1e-04,2583069.882231405
118,2869299.4138228,1e-04,2574980.0107438015
119,2851544.2103160024,1e-04,2565108.262396694
120,2847582.749451704,1e-04,2574988.6396694216
121,2854910.4586625025,1e-04,2574477.6413223143
122,2834574.476317059,1e-04,2586196.1574380165
123,2833643.6764422194,1e-04,2552839.518181818
124,2912658.607638251,1e-04,2587470.4140495867
125,2860333.888001217,1e-04,2555163.067768595
126,2847087.358996073,1e-04,2564434.7611570247
127,2824257.812904763,1e-04,2563189.1214876035
128,2830377.860715598,1e-04,2575497.128099174
129,2831159.7099054977,1e-04,2551819.8305785125
130,2815776.275261804,1e-04,2572179.555371901
131,2811813.5248713945,1e-04,2564366.2487603305
132,2847733.237914523,1e-04,2554657.6776859504
133,2822766.9799599256,1e-04,2553629.3157024793
134,2817798.040111726,1e-04,2564358.272727273
135,2826179.0834328495,1e-04,2550756.9363636365
136,2837636.491086602,1e-04,2580576.40661157
137,2814154.2256281003,1e-04,2567635.4020661158
138,2803430.8406410757,1e-04,2534657.961157025
139,2834390.0800626953,1e-04,2568976.5136363637
140,2808184.3412927156,1e-04,2541257.0342975208
141,2799826.73759588,1e-04,2561481.7305785124
142,2803014.7372772368,1e-04,2547587.4334710743
143,2801407.4767792346,1e-04,2533229.1330578513
144,2797121.582887424,1e-04,2533597.1371900826
145,2777662.7439543908,1e-04,2516775.19338843
146,2789133.0811478044,1e-04,2541242.38553719
147,2811413.307906945,1e-04,2525621.973966942
148,2785647.689776433,1e-04,2536985.959504132
149,2812173.7745498805,1e-04,2521464.6553719006
150,2763934.836854676,1e-04,2518469.55661157
151,2794933.192684411,1e-04,2525047.784710744
152,2793100.297443391,1e-04,2523168.912396694
